text,label
이번 달은 활기찼다.,1
나는 빛났다.,1
이번 달은 모호했다.,0
하루종일 동의했다.,1
이번 달은 잊혀졌다.,0
전체적으로 우울감이 들었다.,0
내 마음이 애매했다.,0
나는 걱정스러웠다.,0
오늘 하루는 보람 있었다.,1
오늘은 정말 믿을 수 있었다.,1
나는 즐거웠다.,1
내 마음이 명랑했다.,1
나는 실수했다.,0
이번 주는 부끄러웠다.,0
이번 달은 무섭다.,0
하루종일 기쁘다.,1
이번 달은 손상되었다.,0
요즘 들어 안락했다.,1
전체적으로 잘됐다.,1
요즘 들어 상쾌했다.,1
나는 기쁨이 넘쳤다.,1
이번 주는 짜증났다.,0
오늘은 정말 배려했다.,1
하루종일 부정적으로 느껴졌다.,0
이번 주는 혼란했다.,0
하루종일 즐거웠다.,1
지금 기분이 미안했다.,0
나는 순수했다.,1
전체적으로 풍부했다.,1
전체적으로 혼란스러웠다.,0
전체적으로 호감이 갔다.,1
나는 걱정됐다.,0
이번 주는 무관심했다.,0
전체적으로 두려웠다.,0
지금 기분이 실수했다.,0
하루종일 행운이었다.,1
나는 즐거웠다.,1
이번 주는 유쾌했다.,1
하루종일 망설였다.,0
하루종일 고통스러웠다.,0
전체적으로 배려심 있었다.,1
전체적으로 쓸쓸했다.,0
내 마음이 순수했다.,1
요즘 들어 피로감이 들었다.,0
지금 기분이 허탈했다.,0
내 마음이 자유로웠다.,1
지금 기분이 모멸감을 느꼈다.,0
내 마음이 낙심했다.,0
오늘 하루는 불안감이 들었다.,0
전체적으로 상쾌했다.,1
지금 기분이 심란했다.,0
오늘은 정말 좌절했다.,0
지금 기분이 친절했다.,1
오늘 하루는 행운이었다.,1
나는 쓸쓸했다.,0
하루종일 후회했다.,0
이번 달은 괴로웠다.,0
요즘 들어 답답했다.,0
내 마음이 이해받았다.,1
오늘은 정말 감사했다.,1
오늘은 정말 감사했다.,1
오늘 하루는 헷갈렸다.,0
전체적으로 활력 넘쳤다.,1
나는 친절했다.,1
이번 달은 불만족스러웠다.,0
전체적으로 평안했다.,1
내 마음이 피로감이 들었다.,0
내 마음이 겸손했다.,1
이번 주는 질투심에 시달렸다.,0
내 마음이 희망찼다.,1
하루종일 혐오감이 들었다.,0
전체적으로 기대에 차 있었다.,1
나는 화목했다.,1
이번 달은 소중하게 느껴졌다.,1
나는 사려깊었다.,1
오늘 하루는 긍정적이었다.,1
요즘 들어 허탈했다.,0
하루종일 평온했다.,1
지금 기분이 압박감을 느꼈다.,0
지금 기분이 당황스러웠다.,0
이번 주는 감동적이었다.,1
오늘은 정말 난처했다.,0
하루종일 불쾌했다.,0
이번 달은 배려받았다.,1
이번 주는 불편했다.,0
오늘 하루는 사랑받는 느낌이었다.,1
지금 기분이 명랑했다.,1
전체적으로 배려했다.,1
내 마음이 부정적으로 느껴졌다.,0
내 마음이 압박받았다.,0
나는 실망했다.,0
요즘 들어 지혜로웠다.,1
나는 괴로웠다.,0
지금 기분이 낙심했다.,0
전체적으로 활기찼다.,1
나는 답답했다.,0
오늘 하루는 고요했다.,1
하루종일 안락했다.,1
오늘 하루는 달성했다.,1
요즘 들어 비통했다.,0
내 마음이 무기력했다.,0
오늘은 정말 무의미하게 느껴졌다.,0
오늘 하루는 사랑했다.,1
이번 달은 허무하게 느껴졌다.,0
하루종일 불행했다.,0
하루종일 불만이 있었다.,0
전체적으로 기대됐다.,1
이번 달은 위로받았다.,1
요즘 들어 의젓했다.,1
요즘 들어 암울했다.,0
나는 좌절했다.,0
이번 주는 행복을 느꼈다.,1
전체적으로 지혜로웠다.,1
이번 달은 신났다.,1
이번 달은 비참했다.,0
오늘은 정말 패배감을 느꼈다.,0
요즘 들어 기운이 넘쳤다.,1
내 마음이 고통스러웠다.,0
지금 기분이 명랑했다.,1
하루종일 힘겨웠다.,0
하루종일 활력 넘쳤다.,1
오늘 하루는 안심이 됐다.,1
전체적으로 기발했다.,1
전체적으로 분노했다.,0
지금 기분이 서운했다.,0
전체적으로 활기차게 보냈다.,1
전체적으로 기운이 넘쳤다.,1
나는 배려받았다.,1
전체적으로 힘들었다.,0
나는 감동받았다.,1
지금 기분이 고요했다.,1
요즘 들어 즐거운 기분이었다.,1
내 마음이 상쾌했다.,1
내 마음이 허전했다.,0
오늘은 정말 불행감을 느꼈다.,0
이번 주는 실망했다.,0
이번 주는 폭력적이었다.,0
오늘 하루는 낙담했다.,0
오늘 하루는 유쾌했다.,1
오늘은 정말 절망했다.,0
오늘 하루는 동의했다.,1
하루종일 즐거웠다.,1
이번 주는 영감을 받았다.,1
오늘 하루는 겸손했다.,1
나는 사랑했다.,1
하루종일 불편하게 느꼈다.,0
이번 달은 실수했다.,0
이번 달은 성가셨다.,0
내 마음이 무의미했다.,0
이번 달은 무의미했다.,0
나는 기대됐다.,1
나는 서글펐다.,0
전체적으로 긍정적이었다.,1
하루종일 억울했다.,0
오늘은 정말 어수선했다.,0
오늘은 정말 멍했다.,0
이번 주는 무리했다.,0
오늘은 정말 평온했다.,1
이번 달은 기분이 좋았다.,1
이번 달은 상쾌했다.,1
나는 허전했다.,0
하루종일 유쾌했다.,1
요즘 들어 정이 넘쳤다.,1
오늘 하루는 서운했다.,0
오늘은 정말 기분이 나빴다.,0
이번 주는 잊혀졌다.,0
하루종일 영감을 받았다.,1
하루종일 재치 있었다.,1
요즘 들어 방황했다.,0
이번 주는 낙담했다.,0
나는 협력적이었다.,1
오늘 하루는 공허하게 느껴졌다.,0
전체적으로 재미있었다.,1
내 마음이 화사했다.,1
오늘은 정말 영감을 받았다.,1
지금 기분이 공포스러웠다.,0
오늘 하루는 실수했다.,0
이번 주는 혐오감이 들었다.,0
내 마음이 유용했다.,1
나는 공허하게 느껴졌다.,0
이번 주는 혼란스러웠다.,0
요즘 들어 불안정했다.,0
오늘 하루는 슬퍼했다.,0
오늘 하루는 불쾌감을 느꼈다.,0
오늘 하루는 초조했다.,0
나는 화사했다.,1
오늘은 정말 차가웠다.,0
하루종일 성장하는 기분이었다.,1
하루종일 깨끗했다.,1
지금 기분이 소중했다.,1
내 마음이 평온했다.,1
요즘 들어 기대됐다.,1
오늘 하루는 질투심에 시달렸다.,0
나는 감동적이었다.,1
오늘은 정말 희망찼다.,1
오늘은 정말 용감했다.,1
요즘 들어 위험했다.,0
지금 기분이 고독했다.,0
이번 주는 긴장됐다.,0
이번 달은 위험했다.,0
전체적으로 뿌듯했다.,1
오늘은 정말 두려웠다.,0
전체적으로 설렜다.,1
이번 달은 부끄러웠다.,0
요즘 들어 고무적이었다.,1
이번 주는 고통스러웠다.,0
오늘 하루는 억울했다.,0
나는 차가웠다.,0
오늘 하루는 우울했다.,0
전체적으로 충만했다.,1
오늘은 정말 행복감이 들었다.,1
내 마음이 피곤했다.,0
내 마음이 감정이 충만했다.,1
오늘은 정말 초조했다.,0
내 마음이 후회했다.,0
요즘 들어 미안했다.,0
전체적으로 절망적이었다.,0
내 마음이 평온했다.,1
요즘 들어 무관심했다.,0
이번 달은 불만족스러웠다.,0
나는 충족했다.,1
전체적으로 당황스러웠다.,0
하루종일 암울했다.,0
내 마음이 기대됐다.,1
전체적으로 영감을 받았다.,1
이번 주는 사랑스러웠다.,1
이번 달은 후회스러웠다.,0
요즘 들어 심각했다.,0
전체적으로 허무했다.,0
요즘 들어 힘겨웠다.,0
지금 기분이 기대에 차 있었다.,1
요즘 들어 심란했다.,0
전체적으로 즐거운 기분이었다.,1
하루종일 선명했다.,1
요즘 들어 잊혀졌다.,0
이번 달은 잘됐다.,1
지금 기분이 안심됐다.,1
이번 달은 피했다.,0
요즘 들어 충족했다.,1
지금 기분이 비난받았다.,0
오늘은 정말 우울하게 느껴졌다.,0
요즘 들어 허무했다.,0
나는 깨끗했다.,1
이번 달은 평안했다.,1
오늘은 정말 차가웠다.,0
오늘 하루는 대단했다.,1
하루종일 친근했다.,1
요즘 들어 기대가 컸다.,1
전체적으로 지쳤다.,0
요즘 들어 명쾌했다.,1
오늘은 정말 용기가 났다.,1
요즘 들어 당황스러웠다.,0
이번 달은 빛났다.,1
오늘은 정말 힘들었다.,0
하루종일 고독했다.,0
내 마음이 괴로웠다.,0
오늘 하루는 재미있었다.,1
오늘 하루는 편리했다.,1
이번 달은 질투났다.,0
오늘 하루는 즐거운 기분이었다.,1
내 마음이 믿음직했다.,1
이번 달은 재밌었다.,1
이번 달은 분노가 치밀었다.,0
전체적으로 의미 있었다.,1
하루종일 기대됐다.,1
요즘 들어 무관심했다.,0
전체적으로 정직했다.,1
오늘 하루는 열정적이었다.,1
오늘은 정말 지루했다.,0
오늘 하루는 활기찼다.,1
하루종일 동의했다.,1
오늘은 정말 성공적인 하루였다.,1
지금 기분이 미안했다.,0
지금 기분이 패배감을 느꼈다.,0
나는 행운이었다.,1
이번 달은 용기를 얻었다.,1
내 마음이 미안했다.,0
지금 기분이 영감을 받았다.,1
오늘 하루는 열심히 했다.,1
지금 기분이 재미있었다.,1
오늘 하루는 허전했다.,0
이번 달은 감정이 충만했다.,1
지금 기분이 실망했다.,0
나는 빛났다.,1
전체적으로 낙담했다.,0
오늘 하루는 용기가 났다.,1
이번 달은 감사했다.,1
나는 비참했다.,0
전체적으로 동의했다.,1
내 마음이 축복받은 느낌이었다.,1
전체적으로 미소 지었다.,1
오늘 하루는 분노했다.,0
지금 기분이 평화로웠다.,1
오늘은 정말 평안했다.,1
나는 동의했다.,1
지금 기분이 차가웠다.,0
요즘 들어 감명받았다.,1
전체적으로 우울감을 느꼈다.,0
이번 주는 충격적이었다.,0
나는 서글펐다.,0
이번 주는 기분이 나빴다.,0
지금 기분이 멋진 하루였다.,1
이번 주는 좌절했다.,0
지금 기분이 존중받는 느낌이었다.,1
오늘은 정말 친밀했다.,1
전체적으로 평온했다.,1
하루종일 피했다.,0
오늘은 정말 자유로웠다.,1
내 마음이 불행감을 느꼈다.,0
오늘은 정말 불확실했다.,0
이번 주는 모멸감을 느꼈다.,0
오늘은 정말 실망감을 느꼈다.,0
하루종일 불안감이 들었다.,0
이번 주는 만족스러웠다.,1
요즘 들어 절망적이었다.,0
나는 지혜로웠다.,1
오늘은 정말 비통했다.,0
이번 달은 희생되었다.,0
이번 주는 압박받았다.,0
하루종일 활발했다.,1
오늘은 정말 친근했다.,1
오늘은 정말 질투심에 시달렸다.,0
지금 기분이 편리했다.,1
하루종일 동의했다.,1
이번 달은 희생되었다.,0
전체적으로 상냥했다.,1
하루종일 기쁘다.,1
이번 주는 열정적이었다.,1
이번 달은 혼돈스러웠다.,0
오늘은 정말 피곤했다.,0
오늘은 정말 안락했다.,1
이번 주는 부정적으로 느껴졌다.,0
오늘 하루는 자신감 넘쳤다.,1
이번 주는 위로받았다.,1
이번 달은 성공했다.,1
하루종일 행복을 느꼈다.,1
전체적으로 불쾌감을 느꼈다.,0
내 마음이 낙담했다.,0
요즘 들어 안심됐다.,1
하루종일 사랑했다.,1
오늘 하루는 불만이 있었다.,0
오늘은 정말 분노가 치밀었다.,0
오늘은 정말 편안하게 느꼈다.,1
지금 기분이 상쾌했다.,1
오늘 하루는 흥미로웠다.,1
전체적으로 고독했다.,0
하루종일 성가셨다.,0
하루종일 폭력적이었다.,0
오늘 하루는 감탄했다.,1
나는 우울했다.,0
오늘은 정말 쓸쓸했다.,0
요즘 들어 흥미로웠다.,1
오늘은 정말 온화했다.,1
이번 달은 공허했다.,0
오늘 하루는 무의미했다.,0
이번 주는 긍정적이었다.,1
오늘 하루는 힘들었다.,0
요즘 들어 질투났다.,0
요즘 들어 맑고 밝았다.,1
내 마음이 감동적이었다.,1
내 마음이 비난받았다.,0
나는 허무하게 느껴졌다.,0
하루종일 불안정했다.,0
나는 환하게 웃었다.,1
나는 모호했다.,0
이번 주는 평온했다.,1
전체적으로 잘됐다.,1
나는 비참했다.,0
내 마음이 용기가 났다.,1
이번 주는 괴로웠다.,0
지금 기분이 낙담했다.,0
오늘은 정말 활력 넘쳤다.,1
나는 공허했다.,0
오늘은 정말 친근했다.,1
오늘은 정말 재치 있었다.,1
전체적으로 기쁨이 넘쳤다.,1
오늘은 정말 후회스러웠다.,0
내 마음이 용기를 얻었다.,1
이번 달은 고무적이었다.,1
지금 기분이 서운했다.,0
내 마음이 비난받았다.,0
요즘 들어 고립되었다.,0
오늘 하루는 두려워졌다.,0
나는 건강했다.,1
이번 주는 미안했다.,0
이번 달은 잊혀졌다.,0
이번 달은 괴로웠다.,0
하루종일 피로감이 들었다.,0
나는 사랑스러웠다.,1
요즘 들어 보람 있었다.,1
내 마음이 기대에 차 있었다.,1
하루종일 비참하게 느껴졌다.,0
오늘 하루는 황당했다.,0
이번 달은 쾌적한 하루였다.,1
내 마음이 의미 있었다.,1
오늘은 정말 흥미로웠다.,1
오늘은 정말 불안정했다.,0
요즘 들어 배려심 있었다.,1
전체적으로 기뻤다.,1
이번 달은 불행했다.,0
이번 주는 환하게 웃었다.,1
오늘은 정말 우울감을 느꼈다.,0
오늘은 정말 싫증났다.,0
오늘 하루는 걱정스러웠다.,0
이번 달은 맑고 밝았다.,1
지금 기분이 분노했다.,0
이번 주는 걱정됐다.,0
이번 주는 응원받았다.,1
내 마음이 유쾌했다.,1
지금 기분이 즐거운 시간을 보냈다.,1
이번 달은 따뜻했다.,1
지금 기분이 실망했다.,0
요즘 들어 고요했다.,1
내 마음이 헷갈렸다.,0
내 마음이 고통스러웠다.,0
요즘 들어 따뜻한 마음을 느꼈다.,1
이번 주는 괴로웠다.,0
요즘 들어 순수했다.,1
오늘 하루는 격앙되었다.,0
오늘 하루는 불안정했다.,0
오늘 하루는 우울했다.,0
내 마음이 만족했다.,1
나는 우울했다.,0
오늘은 정말 억울했다.,0
이번 주는 효율적이었다.,1
하루종일 활력 넘쳤다.,1
하루종일 불만이 있었다.,0
나는 감탄했다.,1
요즘 들어 불안감이 스며들었다.,0
오늘은 정말 비참했다.,0
오늘은 정말 잘됐다.,1
하루종일 좌절했다.,0
오늘은 정말 격려받았다.,1
지금 기분이 황당했다.,0
오늘 하루는 걱정스러웠다.,0
이번 달은 공허하게 느껴졌다.,0
나는 행운이었다.,1
하루종일 짜증났다.,0
하루종일 두려워졌다.,0
하루종일 자유로웠다.,1
오늘 하루는 헷갈렸다.,0
하루종일 비참했다.,0
이번 주는 훌륭했다.,1
오늘은 정말 열렬했다.,1
내 마음이 심란했다.,0
내 마음이 응원받았다.,1
나는 풍부했다.,1
이번 달은 재미있었다.,1
내 마음이 비참하게 느껴졌다.,0
이번 주는 어수선했다.,0
오늘은 정말 친근했다.,1
나는 참담했다.,0
이번 달은 의젓했다.,1
오늘은 정말 화가 났다.,0
이번 달은 이해받았다.,1
요즘 들어 활기차게 보냈다.,1
이번 주는 분노가 치밀었다.,0
나는 헷갈렸다.,0
이번 주는 곤란했다.,0
이번 달은 위험했다.,0
지금 기분이 혼란스러웠다.,0
이번 주는 활기찼다.,1
오늘 하루는 분노가 치밀었다.,0
이번 주는 비관적이었다.,0
요즘 들어 우려했다.,0
지금 기분이 공허했다.,0
오늘 하루는 평안했다.,1
지금 기분이 씁쓸했다.,0
오늘 하루는 불쾌감을 느꼈다.,0
나는 부끄러웠다.,0
오늘 하루는 황당했다.,0
지금 기분이 불만족스러웠다.,0
요즘 들어 화목했다.,1
오늘 하루는 어수선했다.,0
이번 주는 열정적이었다.,1
하루종일 성장하는 기분이었다.,1
오늘은 정말 기쁨을 느꼈다.,1
나는 불편했다.,0
요즘 들어 용기가 났다.,1
이번 주는 풍요로웠다.,1
요즘 들어 안락했다.,1
이번 주는 안심이 됐다.,1
하루종일 두려웠다.,0
요즘 들어 자유로웠다.,1
전체적으로 서글펐다.,0
오늘은 정말 후회했다.,0
하루종일 유쾌했다.,1
오늘은 정말 열렬했다.,1
나는 잊혀졌다.,0
하루종일 불만족스러웠다.,0
이번 주는 자신감이 생겼다.,1
나는 자유로웠다.,1
나는 실망감을 느꼈다.,0
내 마음이 달콤했다.,1
하루종일 기대가 컸다.,1
나는 빛났다.,1
오늘 하루는 초조했다.,0
지금 기분이 비참했다.,0
오늘 하루는 심각했다.,0
나는 부끄러웠다.,0
하루종일 명쾌했다.,1
오늘 하루는 쾌적했다.,1
요즘 들어 두려워졌다.,0
이번 달은 혼자 있는 느낌이었다.,0
오늘은 정말 충족했다.,1
내 마음이 공포스러웠다.,0
내 마음이 질투심이 났다.,0
전체적으로 영리했다.,1
전체적으로 불안정했다.,0
이번 주는 평화로웠다.,1
내 마음이 따뜻한 마음을 느꼈다.,1
내 마음이 고통스러웠다.,0
내 마음이 비참했다.,0
전체적으로 고통스러웠다.,0
요즘 들어 희망에 차 있었다.,1
이번 주는 불행감을 느꼈다.,0
지금 기분이 기쁘다.,1
전체적으로 맑고 깨끗했다.,1
오늘 하루는 실수했다.,0
하루종일 모멸감을 느꼈다.,0
오늘 하루는 두려워졌다.,0
오늘은 정말 자신이 있었다.,1
나는 위험했다.,0
나는 슬펐다.,0
오늘은 정말 즐거웠다.,1
지금 기분이 피했다.,0
오늘은 정말 기대가 컸다.,1
지금 기분이 억울했다.,0
지금 기분이 안정적이었다.,1
오늘 하루는 피로감이 들었다.,0
지금 기분이 용기가 났다.,1
이번 주는 멋졌다.,1
하루종일 용감했다.,1
이번 달은 슬펐다.,0
지금 기분이 희망적이었다.,1
요즘 들어 훌륭한 경험이었다.,1
이번 달은 따뜻한 마음을 느꼈다.,1
지금 기분이 낙담했다.,0
요즘 들어 따뜻했다.,1
내 마음이 서글펐다.,0
이번 달은 도움을 받았다.,1
이번 달은 즐거웠다.,1
하루종일 불만족스러웠다.,0
이번 달은 무섭다.,0
전체적으로 슬펐다.,0
내 마음이 달성했다.,1
오늘 하루는 든든했다.,1
하루종일 난처했다.,0
하루종일 축복받은 느낌이었다.,1
오늘 하루는 편리했다.,1
오늘 하루는 영감을 받았다.,1
나는 무리했다.,0
나는 폭력적이었다.,0
나는 평화로웠다.,1
지금 기분이 좌절했다.,0
내 마음이 순수했다.,1
이번 달은 실망스러웠다.,0
요즘 들어 자유로웠다.,1
오늘은 정말 안심됐다.,1
오늘 하루는 기운이 넘쳤다.,1
나는 혐오감이 들었다.,0
오늘은 정말 열정적이었다.,1
오늘 하루는 쓸쓸했다.,0
지금 기분이 질투났다.,0
오늘 하루는 유쾌했다.,1
내 마음이 사려깊었다.,1
나는 짜증났다.,0
내 마음이 순수했다.,1
하루종일 비참했다.,0
지금 기분이 불만이 있었다.,0
이번 주는 혼란했다.,0
하루종일 쾌적했다.,1
나는 명쾌했다.,1
내 마음이 비극적이었다.,0
하루종일 무기력했다.,0
나는 지쳤다.,0
나는 괴로웠다.,0
오늘은 정말 미소 지었다.,1
전체적으로 배려심 있었다.,1
지금 기분이 슬퍼했다.,0
요즘 들어 도움을 받았다.,1
이번 주는 미안했다.,0
이번 달은 좌절했다.,0
내 마음이 상처받았다.,0
지금 기분이 실망했다.,0
지금 기분이 우려했다.,0
전체적으로 자신이 있었다.,1
요즘 들어 상처받았다.,0
오늘 하루는 후회했다.,0
지금 기분이 감명받았다.,1
오늘 하루는 열정적이었다.,1
오늘 하루는 의미 있었다.,1
내 마음이 친밀했다.,1
전체적으로 상냥했다.,1
나는 격려받았다.,1
지금 기분이 비참했다.,0
오늘 하루는 사랑받는 느낌이었다.,1
전체적으로 난처했다.,0
이번 달은 불안감이 스며들었다.,0
나는 기대됐다.,1
오늘 하루는 낙심했다.,0
나는 친근했다.,1
전체적으로 웃음이 넘쳤다.,1
하루종일 평온했다.,1
전체적으로 서글펐다.,0
오늘 하루는 명랑했다.,1
이번 달은 안심됐다.,1
지금 기분이 상쾌했다.,1
하루종일 훌륭했다.,1
요즘 들어 평온했다.,1
요즘 들어 비관적이었다.,0
지금 기분이 무기력감을 느꼈다.,0
요즘 들어 무리했다.,0
이번 달은 자신이 있었다.,1
내 마음이 안심됐다.,1
이번 주는 소중했다.,1
나는 유쾌했다.,1
오늘은 정말 피했다.,0
하루종일 훌륭했다.,1
하루종일 풍족했다.,1
요즘 들어 격앙되었다.,0
이번 주는 기대가 충만했다.,1
요즘 들어 명랑했다.,1
요즘 들어 불쾌했다.,0
오늘 하루는 배려했다.,1
이번 주는 행복감이 들었다.,1
오늘은 정말 무리했다.,0
이번 주는 평화로웠다.,1
오늘은 정말 사랑받는 느낌이었다.,1
오늘 하루는 평온했다.,1
지금 기분이 잊혀졌다.,0
나는 풍족했다.,1
나는 지쳤다.,0
하루종일 사랑받는 느낌이었다.,1
나는 서운했다.,0
나는 웃음이 났다.,1
전체적으로 감동받았다.,1
이번 주는 초조하게 느껴졌다.,0
요즘 들어 자유로웠다.,1
지금 기분이 초조했다.,0
전체적으로 유쾌했다.,1
내 마음이 신났다.,1
내 마음이 공허했다.,0
내 마음이 절망했다.,0
전체적으로 우울감을 느꼈다.,0
이번 달은 맑았다.,1
이번 주는 혐오감이 들었다.,0
오늘 하루는 따뜻하게 느껴졌다.,1
지금 기분이 따뜻했다.,1
내 마음이 자신이 있었다.,1
이번 주는 행복감이 들었다.,1
오늘 하루는 피곤했다.,0
이번 주는 행운이었다.,1
내 마음이 무책임했다.,0
이번 달은 무기력감을 느꼈다.,0
나는 잘됐다.,1
나는 희망찼다.,1
이번 달은 만족스러웠다.,1
내 마음이 성취감이 들었다.,1
오늘은 정말 격려받았다.,1
이번 주는 심란했다.,0
전체적으로 부끄러웠다.,0
지금 기분이 부끄러웠다.,0
오늘 하루는 폭력적이었다.,0
이번 주는 희망에 차 있었다.,1
하루종일 대단했다.,1
내 마음이 자부심이 들었다.,1
내 마음이 재밌었다.,1
내 마음이 효율적이었다.,1
오늘은 정말 피곤했다.,0
나는 심각했다.,0
오늘 하루는 용감했다.,1
오늘 하루는 허전했다.,0
요즘 들어 순수했다.,1
하루종일 심각했다.,0
이번 달은 지쳤다.,0
지금 기분이 난처했다.,0
지금 기분이 충만했다.,1
요즘 들어 무기력했다.,0
지금 기분이 따뜻한 마음을 느꼈다.,1
하루종일 행복했다.,1
이번 달은 상쾌했다.,1
나는 불안정했다.,0
나는 소외되었다.,0
오늘 하루는 활발했다.,1
오늘은 정말 열심히 했다.,1
오늘은 정말 축복받은 느낌이었다.,1
오늘은 정말 걱정됐다.,0
오늘은 정말 암울했다.,0
오늘은 정말 평안했다.,1
오늘 하루는 불만족스러웠다.,0
이번 달은 정성스러웠다.,1
하루종일 안락했다.,1
오늘 하루는 활기차게 보냈다.,1
오늘 하루는 패배감을 느꼈다.,0
전체적으로 배려심 있었다.,1
전체적으로 불안했다.,0
하루종일 희망찼다.,1
지금 기분이 당황스러웠다.,0
하루종일 고립된 느낌이었다.,0
내 마음이 혼란스러웠다.,0
지금 기분이 깨끗했다.,1
오늘 하루는 성취감을 느꼈다.,1
지금 기분이 참담했다.,0
이번 주는 불안정했다.,0
내 마음이 효율적이었다.,1
지금 기분이 지루했다.,0
